episode,timestep,episode_reward,episode_length,rolling_median_20,rolling_median_100,rolling_mean_20,rolling_mean_100
53,3313,43.19327059388161,128,1.4567682296037674,43.19327059388161,19.27552772462368,43.19327059388161
54,3314,-0.5,1,0.8336209505796432,-0.5,17.086273089051247,-0.5
55,3438,41.50104212760925,124,0.8336209505796432,41.50104212760925,16.859712752699853,41.50104212760925
56,3443,0.7930841445922852,5,0.6053121387958527,0.7930841445922852,14.693466556072234,0.7930841445922852
57,3531,29.32950308918953,88,1.0213929563760757,29.32950308918953,16.158046028018,29.32950308918953
58,3639,36.800309509038925,108,1.0213929563760757,36.800309509038925,16.095819555222988,36.800309509038925
59,3641,-0.15937423706054688,2,0.6053121387958527,-0.15937423706054688,14.003514163196087,-0.15937423706054688
60,3748,39.09729120135307,107,1.0213929563760757,39.09729120135307,15.966222666203976,39.09729120135307
61,3857,37.2324837744236,109,1.2284594178199768,37.2324837744236,17.765361766517163,37.2324837744236
62,3859,-0.19206133484840393,2,1.2284594178199768,-0.19206133484840393,17.780758699774744,-0.19206133484840393
63,3866,1.3249903619289398,7,1.4944125264883041,1.3249903619289398,17.87200821787119,1.3249903619289398
64,3875,1.9910410344600677,9,1.4944125264883041,1.9910410344600677,15.558044192194938,1.9910410344600677
65,3993,38.83657768368721,118,1.827437862753868,38.83657768368721,17.5248730763793,38.83657768368721
66,4102,40.08383351564407,109,13.744187265634537,40.08383351564407,19.5540647521615,40.08383351564407
67,4103,-0.5,1,1.827437862753868,-0.5,18.254198077321053,-0.5
