episode,total_reward,original_reward,shaped_component,episode_length
97,178.00886955857277,175.55886897444725,2.4499999999999997,522
98,173.8675577044487,171.41755712032318,2.4499999999999997,512
99,2724.785336345434,2722.3353357613087,2.4499999999999997,8064
100,1113.7246144264936,1111.274613842368,2.4499999999999997,3297
101,826.1985965073109,823.7485959231853,2.4499999999999997,2522
102,1644.731671512127,1642.2816709280014,2.4499999999999997,4840
103,1153.950030148029,1151.5000295639038,2.4499999999999997,3398
104,479.0002662092447,476.5502656251192,2.4499999999999997,1377
105,328.1967457979917,325.74674521386623,2.4499999999999997,953
106,380.4976711720228,378.0476705878973,2.4499999999999997,1089
107,886.6448882520199,884.1948876678944,2.4499999999999997,2530
108,469.7018437236548,467.2518431395292,2.4499999999999997,1379
109,174.32000882923603,171.8700082451105,2.4499999999999997,515
